file_name,place_name,file_2_name,prefecture,map_warper_url,stanford_url
47.tif,神戸,fs206br6980,28,https://mapwarper.h-gis.jp/maps/47,https://purl.stanford.edu/fs206br6980
397.tif,西表島西南部,qq146kj4438,47,https://mapwarper.h-gis.jp/maps/397,http://purl.stanford.edu/qq146kj4438
398.tif,西表島南部,wq528jb3193,47,https://mapwarper.h-gis.jp/maps/398,http://purl.stanford.edu/wq528jb3193
399.tif,与那国島,ps095dc8989,47,https://mapwarper.h-gis.jp/maps/399,http://purl.stanford.edu/ps095dc8989
400.tif,西表島西北部,qr131gj9716,47,https://mapwarper.h-gis.jp/maps/400,http://purl.stanford.edu/qr131gj9716
401.tif,沖大東島,sh396my9234,47,https://mapwarper.h-gis.jp/maps/401,http://purl.stanford.edu/sh396my9234
402.tif,硫黄島,ww637df6344,13,https://mapwarper.h-gis.jp/maps/402,http://purl.stanford.edu/ww637df6344
403.tif,北硫黄島,sc758qq3548,13,https://mapwarper.h-gis.jp/maps/403,http://purl.stanford.edu/sc758qq3548
404.tif,魚釣島,pn471xx3268,47,https://mapwarper.h-gis.jp/maps/404,http://purl.stanford.edu/pn471xx3268
405.tif,黄尾嶼,mk997gg8525,47,https://mapwarper.h-gis.jp/maps/405,http://purl.stanford.edu/mk997gg8525
406.tif,赤尾嶼,zv410nb2638,47,https://mapwarper.h-gis.jp/maps/406,http://purl.stanford.edu/zv410nb2638
407.tif,南大東島,fy996dk0689,47,https://mapwarper.h-gis.jp/maps/407,http://purl.stanford.edu/fy996dk0689
408.tif,慶良間列島南部,sf845jg4164,47,https://mapwarper.h-gis.jp/maps/408,http://purl.stanford.edu/sf845jg4164
409.tif,久米島南部,ff719wt4741,47,https://mapwarper.h-gis.jp/maps/409,http://purl.stanford.edu/ff719wt4741
410.tif,古場島,gx341rd2962,47,https://mapwarper.h-gis.jp/maps/410,http://purl.stanford.edu/gx341rd2962
411.tif,那覇,tw196tn3980,47,https://mapwarper.h-gis.jp/maps/411,http://purl.stanford.edu/tw196tn3980
412.tif,与那原,wx843rc4982,47,https://mapwarper.h-gis.jp/maps/412,http://purl.stanford.edu/wx843rc4982
413.tif,久米島西部,nt903sp1078,47,https://mapwarper.h-gis.jp/maps/413,http://purl.stanford.edu/nt903sp1078
414.tif,久米島東部,gx447nv1382,47,https://mapwarper.h-gis.jp/maps/414,http://purl.stanford.edu/gx447nv1382
415.tif,渡名喜島,dd234gg4786,47,https://mapwarper.h-gis.jp/maps/415,http://purl.stanford.edu/dd234gg4786
416.tif,座喜味,vn744qg7716,47,https://mapwarper.h-gis.jp/maps/416,http://purl.stanford.edu/vn744qg7716
417.tif,嘉手納,xs204pr2939,47,https://mapwarper.h-gis.jp/maps/417,http://purl.stanford.edu/xs204pr2939
